Variable_1,Variable_2,Correlation,Abs_Correlation
organizations_using_ai_above_ma_3,estimated_revenue_increase_from_ai_trillions_usd_above_ma_3,1.0,1.0
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,cycle_position,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,years_since_start,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,cycle_position,1.0,1.0
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,years_since_start,1.0,1.0
ai_software_revenue_in_billions_above_ma_5,estimated_revenue_increase_from_ai_trillions_usd_above_ma_5,1.0,1.0
global_ai_market_value_in_billions,global_ai_market_value_in_billions_zscore,1.0,1.0
organizations_using_ai_yoy_growth,organizations_using_ai_rolling_2y_growth,1.0,1.0
ai_software_revenue_in_billions_cumulative_growth,ai_software_revenue_in_billions_zscore,1.0,1.0
americans_using_voice_assistants_%,cycle_position,1.0,1.0
americans_using_voice_assistants_%,years_since_start,1.0,1.0
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
years_since_start,cycle_position,1.0,1.0
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
global_ai_market_value_in_billions_yoy_growth,global_ai_market_value_in_billions_ratio_lag_1,1.0,1.0
year,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
year,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
year,jobs_at_high_risk_of_automation__wholesale_&_retail_trade,1.0,1.0
americans_using_voice_assistants_%,jobs_at_high_risk_of_automation__wholesale_&_retail_trade,1.0,1.0
global_ai_market_value_in_billions_rolling_2y_growth,global_ai_market_value_in_billions_ratio_lag_1,1.0,1.0
year,americans_using_voice_assistants_%,1.0,1.0
year,companies_prioritizing_ai_in_strategy,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_yoy_growth,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_1,1.0,1.0
ai_software_revenue_in_billions_yoy_growth,ai_software_revenue_in_billions_ratio_lag_1,1.0,1.0
global_ai_market_value_in_billions_std_2,global_ai_market_value_in_billions_diff_lag_1,1.0,1.0
adoption_momentum,estimated_revenue_increase_from_ai_trillions_usd_band_position,-1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_yoy_growth,estimated_revenue_increase_from_ai_trillions_usd_rolling_2y_growth,1.0,1.0
ai_software_revenue_in_billions_std_3,ai_software_revenue_in_billions_volatility,1.0,1.0
ai_software_revenue_in_billions_rolling_2y_growth,ai_software_revenue_in_billions_ratio_lag_1,1.0,1.0
companies_prioritizing_ai_in_strategy,years_since_start,1.0,1.0
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_3,net_job_impact,-1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd,estimated_revenue_increase_from_ai_trillions_usd_zscore,1.0,1.0
organizations_using_ai_std_2,organizations_using_ai_diff_lag_1,1.0,1.0
organizations_using_ai_above_ma_2,estimated_revenue_increase_from_ai_trillions_usd_above_ma_2,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_3,cycle_position,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,estimated_revenue_increase_from_ai_trillions_usd_band_position,1.0,1.0
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
organizations_believing_ai_provides_competitive_edge,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
ai_software_revenue_in_billions,ai_software_revenue_in_billions_zscore,1.0,1.0
organizations_using_ai_cumulative_growth,organizations_using_ai_zscore,1.0,1.0
ai_software_revenue_in_billions_yoy_growth,ai_software_revenue_in_billions_rolling_2y_growth,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,1.0,1.0
companies_prioritizing_ai_in_strategy,cycle_position,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_3,years_since_start,1.0,1.0
organizations_using_ai,organizations_using_ai_cumulative_growth,1.0,1.0
companies_prioritizing_ai_in_strategy,jobs_at_high_risk_of_automation__wholesale_&_retail_trade,1.0,1.0
year,estimated_jobs_eliminated_by_ai_millions,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_rolling_2y_growth,estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_1,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_2,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.9999999999999999,0.9999999999999999
estimated_revenue_increase_from_ai_trillions_usd_std_3,adoption_momentum,-0.9999999999999999,0.9999999999999999
global_ai_market_value_in_billions_cumulative_growth,global_ai_market_value_in_billions_zscore,0.9999999999999999,0.9999999999999999
ai_software_revenue_in_billions,ai_software_revenue_in_billions_cumulative_growth,0.9999999999999999,0.9999999999999999
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_band_position,0.9999999999999999,0.9999999999999999
estimated_revenue_increase_from_ai_trillions_usd_std_2,adoption_momentum,-0.9999999999999999,0.9999999999999999
estimated_revenue_increase_from_ai_trillions_usd_std_5,estimated_revenue_increase_from_ai_trillions_usd_volatility,0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,adoption_momentum,-0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_std_5,0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_band_position,0.9999999999999998,0.9999999999999998
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,0.9999999999999996,0.9999999999999996
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9999999999999993,0.9999999999999993
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9999999999999993,0.9999999999999993
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,0.9999999999999991,0.9999999999999991
estimated_revenue_increase_from_ai_trillions_usd_std_5,estimated_revenue_increase_from_ai_trillions_usd_band_position,0.9999999999999977,0.9999999999999977
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,estimated_revenue_increase_from_ai_trillions_usd_band_position,0.999999999999996,0.999999999999996
global_ai_market_value_in_billions_cumulative_growth,global_ai_market_value_in_billions_std_5,0.9999998956900096,0.9999998956900096
global_ai_market_value_in_billions,global_ai_market_value_in_billions_std_5,0.9999998956900095,0.9999998956900095
global_ai_market_value_in_billions_std_5,global_ai_market_value_in_billions_zscore,0.9999998956900095,0.9999998956900095
ai_software_revenue_in_billions_std_5,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9999998018858266,0.9999998018858266
global_ai_market_value_in_billions_diff_lag_3,global_ai_market_value_in_billions_upper_band,0.9999980426419395,0.9999980426419395
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,organizations_using_ai_ma_5,0.9999959248460104,0.9999959248460104
estimated_revenue_increase_from_ai_trillions_usd,organizations_using_ai_ma_5,0.9999959248460103,0.9999959248460103
organizations_using_ai_ma_5,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9999959248460099,0.9999959248460099
ai_software_revenue_in_billions_diff_lag_2,ai_software_revenue_in_billions_volatility,0.9999925532747237,0.9999925532747237
ai_software_revenue_in_billions_std_3,ai_software_revenue_in_billions_diff_lag_2,0.9999925532747237,0.9999925532747237
global_ai_market_value_in_billions_ma_3,global_ai_market_value_in_billions_ma_5,0.9999903902982923,0.9999903902982923
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.99998991099866,0.99998991099866
estimated_new_jobs_created_by_ai_millions,marketers_believing_ai_improves_email_revenue,0.9999878557647561,0.9999878557647561
estimated_revenue_increase_from_ai_trillions_usd_ma_3,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999859526896825,0.9999859526896825
ai_software_revenue_in_billions_std_5,organizations_using_ai_ma_3,0.9999815062675803,0.9999815062675803
global_ai_market_value_in_billions,global_ai_market_value_in_billions_upper_band,0.9999745334505745,0.9999745334505745
global_ai_market_value_in_billions_upper_band,global_ai_market_value_in_billions_zscore,0.9999745334505744,0.9999745334505744
global_ai_market_value_in_billions_cumulative_growth,global_ai_market_value_in_billions_upper_band,0.9999745334505744,0.9999745334505744
global_ai_market_value_in_billions_std_5,global_ai_market_value_in_billions_upper_band,0.9999721504518753,0.9999721504518753
estimated_revenue_increase_from_ai_trillions_usd_ma_5,years_since_start,0.9999673250665666,0.9999673250665666
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
estimated_revenue_increase_from_ai_trillions_usd_ma_5,cycle_position,0.9999673250665666,0.9999673250665666
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
year,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
estimated_revenue_increase_from_ai_trillions_usd_ma_5,net_job_impact,-0.9999673250665666,0.9999673250665666
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
organizations_believing_ai_provides_competitive_edge,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665666,0.9999673250665666
estimated_revenue_increase_from_ai_trillions_usd_ma_5,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9999673250665665,0.9999673250665665
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665665,0.9999673250665665
estimated_revenue_increase_from_ai_trillions_usd_ma_5,estimated_revenue_increase_from_ai_trillions_usd_lag_2,0.9999673250665665,0.9999673250665665
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999673250665665,0.9999673250665665
estimated_revenue_increase_from_ai_trillions_usd_ma_5,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.9999673250665664,0.9999673250665664
global_ai_market_value_in_billions,global_ai_market_value_in_billions_diff_lag_3,0.999959952072096,0.999959952072096
global_ai_market_value_in_billions_diff_lag_3,global_ai_market_value_in_billions_zscore,0.9999599520720959,0.9999599520720959
global_ai_market_value_in_billions_cumulative_growth,global_ai_market_value_in_billions_diff_lag_3,0.9999599520720959,0.9999599520720959
estimated_revenue_increase_from_ai_trillions_usd,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9999595210271157,0.9999595210271157
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9999595210271157,0.9999595210271157
estimated_revenue_increase_from_ai_trillions_usd_upper_band,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9999595210271155,0.9999595210271155
estimated_revenue_increase_from_ai_trillions_usd_ma_3,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9999586691465003,0.9999586691465003
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465002,0.9999586691465002
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465002,0.9999586691465002
estimated_revenue_increase_from_ai_trillions_usd_ma_3,years_since_start,0.9999586691465001,0.9999586691465001
estimated_revenue_increase_from_ai_trillions_usd_ma_3,cycle_position,0.9999586691465001,0.9999586691465001
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
year,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
estimated_revenue_increase_from_ai_trillions_usd_ma_3,net_job_impact,-0.9999586691465001,0.9999586691465001
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
organizations_believing_ai_provides_competitive_edge,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9999586691465001,0.9999586691465001
estimated_revenue_increase_from_ai_trillions_usd_ma_3,estimated_revenue_increase_from_ai_trillions_usd_lag_2,0.9999586691465,0.9999586691465
digital_voice_assistants_billions_of_devices,estimated_revenue_increase_from_ai_trillions_usd_lower_band,0.9999579540436444,0.9999579540436444
global_ai_market_value_in_billions_std_5,global_ai_market_value_in_billions_diff_lag_3,0.99995714762079,0.99995714762079
estimated_revenue_increase_from_ai_trillions_usd_ma_3,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.9999396262866597,0.9999396262866597
estimated_revenue_increase_from_ai_trillions_usd,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999370461244436,0.9999370461244436
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9999370461244435,0.9999370461244435
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999370461244435,0.9999370461244435
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
estimated_revenue_increase_from_ai_trillions_usd_ma_2,cycle_position,0.9999347441644275,0.9999347441644275
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_lag_1,0.9999347441644275,0.9999347441644275
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
estimated_revenue_increase_from_ai_trillions_usd_ma_2,years_since_start,0.9999347441644275,0.9999347441644275
estimated_revenue_increase_from_ai_trillions_usd_ma_2,net_job_impact,-0.9999347441644275,0.9999347441644275
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
year,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644275,0.9999347441644275
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644273,0.9999347441644273
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9999347441644273,0.9999347441644273
organizations_using_ai_ma_3,ai_software_revenue_in_billions_diff_lag_3,0.9999338271810159,0.9999338271810159
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_ma_5,0.9999300503749788,0.9999300503749788
estimated_revenue_increase_from_ai_trillions_usd,ai_software_revenue_in_billions_std_5,0.9999284625792616,0.9999284625792616
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,ai_software_revenue_in_billions_std_5,0.9999284625792615,0.9999284625792615
ai_software_revenue_in_billions_std_5,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9999284625792613,0.9999284625792613
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_lag_2,0.9999077405662766,0.9999077405662766
ai_software_revenue_in_billions_ma_3,ai_software_revenue_in_billions_lag_1,0.9999017871053715,0.9999017871053715
ai_software_revenue_in_billions_std_5,organizations_using_ai_ma_5,0.999890241094895,0.999890241094895
ai_software_revenue_in_billions_ma_5,ai_software_revenue_in_billions_zscore,0.9998889081151219,0.9998889081151219
ai_software_revenue_in_billions_cumulative_growth,ai_software_revenue_in_billions_ma_5,0.9998889081151217,0.9998889081151217
ai_software_revenue_in_billions,ai_software_revenue_in_billions_ma_5,0.9998889081151214,0.9998889081151214
ai_software_revenue_in_billions_diff_lag_3,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9998870339853015,0.9998870339853015
organizations_using_ai_ma_5,estimated_revenue_increase_from_ai_trillions_usd_upper_band,0.9998808244593431,0.9998808244593431
organizations_using_ai_ma_5,estimated_revenue_increase_from_ai_trillions_usd_ma_2,0.9998704876029261,0.9998704876029261
estimated_revenue_increase_from_ai_trillions_usd_ma_2,estimated_revenue_increase_from_ai_trillions_usd_lag_3,0.9998656545973651,0.9998656545973651
ai_software_revenue_in_billions_ma_2,ai_software_revenue_in_billions_ma_3,0.999853916396018,0.999853916396018
ai_software_revenue_in_billions_cumulative_growth,ai_software_revenue_in_billions_ma_2,0.9998505400907477,0.9998505400907477
ai_software_revenue_in_billions_ma_2,ai_software_revenue_in_billions_zscore,0.9998505400907476,0.9998505400907476
ai_software_revenue_in_billions,ai_software_revenue_in_billions_ma_2,0.9998505400907476,0.9998505400907476
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9998423811240149,0.9998423811240149
estimated_revenue_increase_from_ai_trillions_usd,estimated_revenue_increase_from_ai_trillions_usd_ma_3,0.9998423811240148,0.9998423811240148
estimated_revenue_increase_from_ai_trillions_usd_ma_3,estimated_revenue_increase_from_ai_trillions_usd_zscore,0.9998423811240147,0.9998423811240147
global_ai_market_value_in_billions_std_3,global_ai_market_value_in_billions_diff_lag_2,0.9998415013644607,0.9998415013644607
global_ai_market_value_in_billions_diff_lag_2,global_ai_market_value_in_billions_volatility,0.9998415013644605,0.9998415013644605
global_ai_market_value_in_billions_ma_2,global_ai_market_value_in_billions_ma_3,0.9998306414223821,0.9998306414223821
ai_software_revenue_in_billions_ma_5,ai_software_revenue_in_billions_lag_2,0.9998293197632757,0.9998293197632757
