% of respondents that “agree”,Opinion on products and services using AI,Year,Category,Country,% of respondents,Label,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change,Response,Global opinions on the impact of AI on current jobs,Demographic group,Party,Policy
,,,The job market,Colombia,44%,,,,,,,,,,
,,,My job,Colombia,45%,,,,,,,,,,
,,,The job market,Argentina,40%,,,,,,,,,,
,,,My job,Argentina,40%,,,,,,,,,,
,,,The job market,Turkey,47%,,,,,,,,,,
,,,My job,Turkey,41%,,,,,,,,,,
,,,The job market,South Korea,19%,,,,,,,,,,
,,,My job,South Korea,23%,,,,,,,,,,
,,,The job market,Poland,17%,,,,,,,,,,
,,,My job,Poland,21%,,,,,,,,,,
,,,The job market,Chile,32%,,,,,,,,,,
,,,My job,Chile,39%,,,,,,,,,,
,,,The job market,Switzerland,25%,,,,,,,,,,
,,,My job,Switzerland,29%,,,,,,,,,,
,,,The job market,Germany,22%,,,,,,,,,,
,,,My job,Germany,27%,,,,,,,,,,
,,,The job market,Ireland,25%,,,,,,,,,,
,,,My job,Ireland,33%,,,,,,,,,,
,,,The job market,France,27%,,,,,,,,,,
,,,My job,France,33%,,,,,,,,,,
,,,The job market,Great Britain,21%,,,,,,,,,,
,,,My job,Great Britain,26%,,,,,,,,,,
,,,The job market,Italy,29%,,,,,,,,,,
,,,My job,Italy,32%,,,,,,,,,,
,,,The job market,Hungary,25%,,,,,,,,,,
,,,My job,Hungary,24%,,,,,,,,,,
,,,The job market,New Zealand,19%,,,,,,,,,,
,,,My job,New Zealand,33%,,,,,,,,,,
,,,The job market,Australia,21%,,,,,,,,,,
,,,My job,Australia,29%,,,,,,,,,,
,,,The job market,Spain,23%,,,,,,,,,,
,,,My job,Spain,28%,,,,,,,,,,
,,,The job market,Japan,18%,,,,,,,,,,
,,,My job,Japan,17%,,,,,,,,,,
,,,The job market,Netherlands,21%,,,,,,,,,,
,,,My job,Netherlands,27%,,,,,,,,,,
,,,The job market,United States,21%,,,,,,,,,,
,,,My job,United States,31%,,,,,,,,,,
,,,The job market,Belgium,17%,,,,,,,,,,
,,,My job,Belgium,26%,,,,,,,,,,
,,,The job market,Sweden,18%,,,,,,,,,,
,,,My job,Sweden,32%,,,,,,,,,,
,,,The job market,Canada,18%,,,,,,,,,,
,,,My job,Canada,24%,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,My job,Global,37%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Global,55%,,,,,,,,,,
,,,My job,China,62%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,China,75%,,,,,,,,,,
,,,My job,Indonesia,59%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Indonesia,78%,,,,,,,,,,
,,,My job,Thailand,52%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Thailand,65%,,,,,,,,,,
,,,My job,Singapore,39%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Singapore,66%,,,,,,,,,,
,,,My job,India,46%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,India,52%,,,,,,,,,,
,,,My job,Mexico,51%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Mexico,71%,,,,,,,,,,
,,,My job,South Africa,53%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,South Africa,70%,,,,,,,,,,
,,,My job,Peru,57%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Peru,65%,,,,,,,,,,
,,,My job,Malaysia,43%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Malaysia,57%,,,,,,,,,,
,,,My job,Brazil,46%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Brazil,59%,,,,,,,,,,
,,,My job,Colombia,45%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Colombia,66%,,,,,,,,,,
,,,My job,Argentina,40%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Argentina,60%,,,,,,,,,,
,,,My job,Turkey,41%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Turkey,62%,,,,,,,,,,
,,,My job,South Korea,23%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,South Korea,62%,,,,,,,,,,
,,,My job,Poland,21%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Poland,48%,,,,,,,,,,
,,,My job,Chile,39%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Chile,62%,,,,,,,,,,
,,,My job,Switzerland,29%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Switzerland,43%,,,,,,,,,,
,,,My job,Germany,27%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Germany,41%,,,,,,,,,,
,,,My job,Ireland,33%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Ireland,47%,,,,,,,,,,
,,,My job,France,33%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,France,50%,,,,,,,,,,
,,,My job,Great Britain,26%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Great Britain,45%,,,,,,,,,,
,,,My job,Italy,32%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Italy,47%,,,,,,,,,,
,,,My job,Hungary,24%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Hungary,55%,,,,,,,,,,
,,,My job,New Zealand,33%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,New Zealand,51%,,,,,,,,,,
,,,My job,Australia,29%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Australia,48%,,,,,,,,,,
,,,My job,Spain,28%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Spain,50%,,,,,,,,,,
,,,My job,Japan,17%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Japan,39%,,,,,,,,,,
,,,My job,Netherlands,27%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Netherlands,53%,,,,,,,,,,
,,,My job,United States,31%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,United States,43%,,,,,,,,,,
,,,My job,Belgium,26%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Belgium,49%,,,,,,,,,,
,,,My job,Sweden,32%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Sweden,41%,,,,,,,,,,
,,,My job,Canada,24%,,,,,,,,,,
,,,The amount of time it takes me  to get things done,Canada,42%,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2021.0,,,54%,Afraid,,,,,,,,,
,,2022.0,,,55%,Afraid,,,,,,,,,
,,2023.0,,,68%,Afraid,,,,,,,,,
,,2024.0,,,66%,Afraid,,,,,,,,,
,,2025.0,,,61%,Afraid,,,,,,,,,
,,2021.0,,,32%,Unsure,,,,,,,,,
,,2022.0,,,30%,Unsure,,,,,,,,,
,,2023.0,,,23%,Unsure,,,,,,,,,
,,2024.0,,,25%,Unsure,,,,,,,,,
,,2025.0,,,26%,Unsure,,,,,,,,,
,,2022,,China ,,,78%,,,,,,,,
,,2022,,Indonesia ,,,,,,,,,,,
,,2022,,Thailand ,,,,,,,,,,,
,,2022,,Mexico ,,,65%,,,,,,,,
,,2022,,Peru ,,,70%,,,,,,,,
,,2022,,Turkey ,,,60%,,,,,,,,
,,2022,,Colombia ,,,64%,,,,,,,,
,,2022,,Singapore ,,,,,,,,,,,
,,2022,,South Korea ,,,62%,,,,,,,,
,,2022,,Malaysia ,,,65%,,,,,,,,
,,2022,,India ,,,71%,,,,,,,,
,,2022,,South Africa ,,,57%,,,,,,,,
,,2022,,Chile ,,,63%,,,,,,,,
,,2022,,Argentina ,,,55%,,,,,,,,
,,2022,,Brazil ,,,57%,,,,,,,,
,,2022,,Italy ,,,50%,,,,,,,,
,,2022,,Hungary ,,,49%,,,,,,,,
,,2022,,Spain ,,,53%,,,,,,,,
,,2022,,Japan ,,,42%,,,,,,,,
,,2022,,New Zealand ,,,,,,,,,,,
,,2022,,Germany ,,,37%,,,,,,,,
,,2022,,Great Britain ,,,38%,,,,,,,,
,,2022,,Ireland ,,,,,,,,,,,
,,2022,,Australia ,,,37%,,,,,,,,
,,2022,,Poland ,,,48%,,,,,,,,
,,2022,,Sweden ,,,40%,,,,,,,,
,,2022,,Switzerland ,,,,,,,,,,,
,,2022,,France ,,,31%,,,,,,,,
,,2022,,Canada ,,,32%,,,,,,,,
,,2022,,United States ,,,35%,,,,,,,,
,,2022,,Belgium ,,,38%,,,,,,,,
,,2022,,Netherlands ,,,33%,,,,,,,,
,,2022,,Romania ,,,,,,,,,,,
,,2022,,Russia ,,,53%,,,,,,,,
,,2022,,Saudi Arabia ,,,76%,,,,,,,,
,,2023,,China ,,,,,,,,,,,
,,2023,,Indonesia ,,,78%,,,,,,,,
,,2023,,Thailand ,,,74%,,,,,,,,
,,2023,,Mexico ,,,73%,,,,,,,,
,,2023,,Peru ,,,67%,,,,,,,,
,,2023,,Turkey ,,,67%,,,,,,,,
,,2023,,Colombia ,,,65%,,,,,,,,
,,2023,,Singapore ,,,64%,,,,,,,,
,,2023,,South Korea ,,,66%,,,,,,,,
,,2023,,Malaysia ,,,69%,,,,,,,,
,,2023,,India ,,,65%,,,,,,,,
,,2023,,South Africa ,,,59%,,,,,,,,
,,2023,,Chile ,,,59%,,,,,,,,
,,2023,,Argentina ,,,57%,,,,,,,,
,,2023,,Brazil ,,,64%,,,,,,,,
,,2023,,Italy ,,,55%,,,,,,,,
,,2023,,Hungary ,,,48%,,,,,,,,
,,2023,,Spain ,,,50%,,,,,,,,
,,2023,,Japan ,,,52%,,,,,,,,
,,2023,,New Zealand ,,,44%,,,,,,,,
,,2023,,Germany ,,,42%,,,,,,,,
,,2023,,Great Britain ,,,46%,,,,,,,,
,,2023,,Ireland ,,,40%,,,,,,,,
,,2023,,Australia ,,,40%,,,,,,,,
,,2023,,Poland ,,,47%,,,,,,,,
,,2023,,Sweden ,,,39%,,,,,,,,
,,2023,,Switzerland ,,,,,,,,,,,
,,2023,,France ,,,37%,,,,,,,,
,,2023,,Canada ,,,38%,,,,,,,,
,,2023,,United States ,,,37%,,,,,,,,
,,2023,,Belgium ,,,39%,,,,,,,,
,,2023,,Netherlands ,,,43%,,,,,,,,
,,2023,,Romania ,,,61%,,,,,,,,
,,2023,,Russia ,,,,,,,,,,,
,,2023,,Saudi Arabia ,,,,,,,,,,,
,,2024,,China ,,,83%,,,,,,,,
,,2024,,Indonesia ,,,80%,,,,,,,,
,,2024,,Thailand ,,,77%,,,,,,,,
,,2024,,Mexico ,,,70%,,,,,,,,
,,2024,,Peru ,,,70%,,,,,,,,
,,2024,,Turkey ,,,69%,,,,,,,,
,,2024,,Colombia ,,,66%,,,,,,,,
,,2024,,Singapore ,,,66%,,,,,,,,
,,2024,,South Korea ,,,66%,,,,,,,,
,,2024,,Malaysia ,,,63%,,,,,,,,
,,2024,,India ,,,62%,,,,,,,,
,,2024,,South Africa ,,,62%,,,,,,,,
,,2024,,Chile ,,,60%,,,,,,,,
,,2024,,Argentina ,,,57%,,,,,,,,
,,2024,,Brazil ,,,56%,,,,,,,,
,,2024,,Italy ,,,53%,,,,,,,,
,,2024,,Hungary ,,,51%,,,,,,,,
,,2024,,Spain ,,,50%,,,,,,,,
,,2024,,Japan ,,,48%,,,,,,,,
,,2024,,New Zealand ,,,48%,,,,,,,,
,,2024,,Germany ,,,47%,,,,,,,,
,,2024,,Great Britain ,,,46%,,,,,,,,
,,2024,,Ireland ,,,45%,,,,,,,,
,,2024,,Australia ,,,44%,,,,,,,,
,,2024,,Poland ,,,44%,,,,,,,,
,,2024,,Sweden ,,,43%,,,,,,,,
,,2024,,Switzerland ,,,42%,,,,,,,,
,,2024,,France ,,,41%,,,,,,,,
,,2024,,Canada ,,,40%,,,,,,,,
,,2024,,United States ,,,39%,,,,,,,,
,,2024,,Belgium ,,,38%,,,,,,,,
,,2024,,Netherlands ,,,36%,,,,,,,,
,,2024,,Romania ,,,,,,,,,,,
,,2024,,Russia ,,,,,,,,,,,
,,2024,,Saudi Arabia ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,China ,,,5%,,,,,,,,
,,Point change 2022 vs. 2024,,Indonesia ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Thailand ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Mexico ,,,5%,,,,,,,,
,,Point change 2022 vs. 2024,,Peru ,,,0%,,,,,,,,
,,Point change 2022 vs. 2024,,Turkey ,,,9%,,,,,,,,
,,Point change 2022 vs. 2024,,Colombia ,,,2%,,,,,,,,
,,Point change 2022 vs. 2024,,Singapore ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,South Korea ,,,4%,,,,,,,,
,,Point change 2022 vs. 2024,,Malaysia ,,,-2%,,,,,,,,
,,Point change 2022 vs. 2024,,India ,,,-9%,,,,,,,,
,,Point change 2022 vs. 2024,,South Africa ,,,5%,,,,,,,,
,,Point change 2022 vs. 2024,,Chile ,,,-3%,,,,,,,,
,,Point change 2022 vs. 2024,,Argentina ,,,2%,,,,,,,,
,,Point change 2022 vs. 2024,,Brazil ,,,-1%,,,,,,,,
,,Point change 2022 vs. 2024,,Italy ,,,3%,,,,,,,,
,,Point change 2022 vs. 2024,,Hungary ,,,2%,,,,,,,,
,,Point change 2022 vs. 2024,,Spain ,,,-3%,,,,,,,,
,,Point change 2022 vs. 2024,,Japan ,,,6%,,,,,,,,
,,Point change 2022 vs. 2024,,New Zealand ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Germany ,,,10%,,,,,,,,
,,Point change 2022 vs. 2024,,Great Britain ,,,8%,,,,,,,,
,,Point change 2022 vs. 2024,,Ireland ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Australia ,,,7%,,,,,,,,
,,Point change 2022 vs. 2024,,Poland ,,,-4%,,,,,,,,
,,Point change 2022 vs. 2024,,Sweden ,,,3%,,,,,,,,
,,Point change 2022 vs. 2024,,Switzerland ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,France ,,,10%,,,,,,,,
,,Point change 2022 vs. 2024,,Canada ,,,8%,,,,,,,,
,,Point change 2022 vs. 2024,,United States ,,,4%,,,,,,,,
,,Point change 2022 vs. 2024,,Belgium ,,,0%,,,,,,,,
,,Point change 2022 vs. 2024,,Netherlands ,,,3%,,,,,,,,
,,Point change 2022 vs. 2024,,Romania ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Russia ,,,,,,,,,,,
,,Point change 2022 vs. 2024,,Saudi Arabia ,,,,,,,,,,,
,,,,Global,,,,I have a good understanding of what  artificial intelligence is ,67%,,,,,,
,,,,Global,,,,I know which types of products and  services use artificial intelligence ,52%,,,,,,
,,,,Global,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,50%,,,,,,
,,,,Global,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,66%,,,,,,
,,,,Global,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,54%,,,,,,
,,,,Global,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,47%,,,,,,
,,,,Global,,,,Products and services using  artificial intelligence  make me excited,53%,,,,,,
,,,,Global,,,,Products and services using artificial intelligence make me nervous,50%,,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,48%,,,,,,
,,,,Argentina,,,,Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,67%,,,,,,
,,,,Argentina,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,60%,,,,,,
,,,,Argentina,,,,I trust that companies that use  artificial intelligence will protect  my personal data ,46%,,,,,,
,,,,Argentina,,,,Products and services using  artificial intelligence  make me excited,52%,,,,,,
,,,,Argentina,,,,Products and services using artificial intelligence make me nervous,47%,,,,,,
,,,,Argentina,,,,I know which types of products and  services use artificial intelligence ,51%,,,,,,
,,,,Argentina,,,,I have a good understanding of what  artificial intelligence is ,72%,,,,,,
,,,,Australia,,,,I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,42%,,,,,,
,,,,Australia,,,,I have a good understanding of what  artificial intelligence is ,63%,,,,,,
,,,,Australia,,,,I know which types of products and  services use artificial intelligence ,38%,,,,,,
,,,,Australia,,,,Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,40%,,,,,,
